created_at,forks,baseline,std,is_surge
2025-11-20 00:00:00+00:00,3,7.366666666666666,5.12212438272348,False
2025-11-21 00:00:00+00:00,6,7.4,5.106327082276108,False
2025-11-22 00:00:00+00:00,4,7.433333333333334,5.076922418447799,False
2025-11-23 00:00:00+00:00,5,7.45,5.067092236067304,False
2025-11-24 00:00:00+00:00,9,7.583333333333333,4.999293735429769,False
2025-11-25 00:00:00+00:00,1,7.583333333333333,4.999293735429769,False
2025-11-26 00:00:00+00:00,6,7.616666666666666,4.981632931747044,False
2025-11-27 00:00:00+00:00,1,7.516666666666667,5.053918321013925,False
2025-11-28 00:00:00+00:00,2,7.466666666666667,5.093920160237108,False
2025-11-29 00:00:00+00:00,6,7.55,5.026792622318589,False
2025-11-30 00:00:00+00:00,11,7.666666666666667,5.024235051538426,False
2025-12-01 00:00:00+00:00,8,7.7,5.019622512648886,False
2025-12-02 00:00:00+00:00,10,7.783333333333333,5.015540820042651,False
2025-12-03 00:00:00+00:00,5,7.833333333333333,4.9716711601124395,False
2025-12-04 00:00:00+00:00,4,7.866666666666666,4.9384917297664614,False
2025-12-05 00:00:00+00:00,3,7.883333333333334,4.920009875512571,False
2025-12-06 00:00:00+00:00,6,7.916666666666667,4.89998846995069,False
2025-12-07 00:00:00+00:00,3,7.933333333333334,4.881187222445473,False
2025-12-08 00:00:00+00:00,5,7.95,4.869221912574769,False
2025-12-09 00:00:00+00:00,3,7.683333333333334,4.688578501164496,False
2025-12-10 00:00:00+00:00,5,7.55,4.648400490345476,False
2025-12-11 00:00:00+00:00,4,7.466666666666667,4.666747376218936,False
2025-12-12 00:00:00+00:00,1,7.233333333333333,4.633579231779159,False
2025-12-13 00:00:00+00:00,2,6.983333333333333,4.500439401020737,False
2025-12-14 00:00:00+00:00,3,6.833333333333333,4.4803399790287814,False
2025-12-15 00:00:00+00:00,5,6.6,4.191193349741249,False
2025-12-16 00:00:00+00:00,8,6.566666666666666,4.171601597349111,False
2025-12-17 00:00:00+00:00,8,6.566666666666666,4.171601597349111,False
2025-12-18 00:00:00+00:00,4,6.383333333333334,4.034141021991019,False
2025-12-19 00:00:00+00:00,3,6.283333333333333,4.042535144619059,False
2025-12-20 00:00:00+00:00,11,6.283333333333333,4.042535144619059,False
2025-12-21 00:00:00+00:00,12,6.266666666666667,4.016350762362234,False
2025-12-22 00:00:00+00:00,12,6.383333333333334,4.080094991693569,False
2025-12-23 00:00:00+00:00,15,6.5,4.224625146343596,True
2025-12-24 00:00:00+00:00,15,6.65,4.364048035280695,False
2025-12-25 00:00:00+00:00,9,6.683333333333334,4.374392613205093,False
2025-12-26 00:00:00+00:00,6,6.633333333333334,4.3645982076388545,False
2025-12-27 00:00:00+00:00,6,6.6,4.3616199758300045,False
2025-12-28 00:00:00+00:00,3,6.45,4.327386184111684,False
2025-12-29 00:00:00+00:00,9,6.5,4.339413379084352,False
2025-12-30 00:00:00+00:00,2,6.483333333333333,4.3549763729599675,False
2025-12-31 00:00:00+00:00,14,6.6,4.461511486678334,False
2026-01-01 00:00:00+00:00,6,6.5,4.4053126632529676,False
2026-01-02 00:00:00+00:00,7,6.533333333333333,4.401335185194304,False
2026-01-03 00:00:00+00:00,5,6.466666666666667,4.393626611611402,False
2026-01-04 00:00:00+00:00,8,6.5,4.397611061797924,False
2026-01-05 00:00:00+00:00,4,6.483333333333333,4.405280601180956,False
2026-01-06 00:00:00+00:00,6,6.433333333333334,4.393240827879962,False
2026-01-07 00:00:00+00:00,4,6.416666666666667,4.4006612240707135,False
2026-01-08 00:00:00+00:00,11,6.5,4.4398045460109685,False
2026-01-09 00:00:00+00:00,20,6.516666666666667,4.489126851293651,True
2026-01-10 00:00:00+00:00,33,6.75,5.416938280891065,True
2026-01-11 00:00:00+00:00,12,6.666666666666667,5.29363758393569,False
2026-01-12 00:00:00+00:00,20,6.866666666666666,5.564617844148188,True
2026-01-13 00:00:00+00:00,10,6.983333333333333,5.555548964214545,False
2026-01-14 00:00:00+00:00,15,7.166666666666667,5.636342926217398,False
2026-01-15 00:00:00+00:00,27,7.55,6.173823911881132,True
2026-01-16 00:00:00+00:00,33,8.05,6.963403122816275,True
2026-01-17 00:00:00+00:00,26,8.416666666666666,7.316782813126495,True
2026-01-18 00:00:00+00:00,46,9.183333333333334,8.699292133031237,True
2026-01-19 00:00:00+00:00,51,9.983333333333333,10.198856145012863,True
2026-01-20 00:00:00+00:00,20,10.216666666666667,10.266106265430302,False
