created_at,num_forks,active_forks,org_forks
2025-07-31 00:00:00+00:00,120,120,3
2025-08-31 00:00:00+00:00,298,298,13
2025-09-30 00:00:00+00:00,138,138,4
2025-10-31 00:00:00+00:00,266,266,12
2025-11-30 00:00:00+00:00,199,199,6
2025-12-31 00:00:00+00:00,206,206,8
2026-01-31 00:00:00+00:00,137,137,5
